"slug";"name";"family";"subFamily";"categoryId";"acceptedApplications";"possibleApplications";"reviewReasons";"explicitUseSummary";"titleDescriptor";"specLine";"categorySourceGroup";"recordLoaded";"recordUrl"
"arsuprem-moda-pro";"ArSuprem Moda Pro";"ArSuprem";"arwowear-moda-pro-2";"hi-vis";"hivis | welding";"energy | firefighting";"energy: Explicit mention of electrical workers as primary users combined with antistatic and arc-flash protection certifications supports energy sector application. || firefighting: Explicit mention of firefighters as primary users combined with flame/heat protection certification supports firefighting application.";"";"60% Modacrylic 38% Cotton 2% Carbon, Inherent Jersey Flame Retardant Antistatic Fabric";"220 g/m², 60% Modacrylic 38% Cotton 2% Carbon, Inherent Flame Retardant";"High Visible Warp Knit Fabrics for Safety Jackets";"true";"/ariteks/fabrics/arsuprem-moda-pro/data/fabric-complete-record.json"
"arbir";"ArBir";"ArBir";"arbir";"woven-like-knits";"hivis";"energy | welding";"energy: EN 61482 (arc) and EN 1149 (antistatic) present but no explicit statement of electrical utility or energy-sector use. || welding: FR and heat-related standards present but no explicit welding, foundry or metal-splash context.";"";"Knit Fabric for Safety Clothes";"140 g/m², 100% Polyester, High Visible, Woven Like Knit Fabric";"Woven like Knit Fabrics for Bodywarmers, Jackets and Raincoats";"true";"/ariteks/fabrics/arbir/data/fabric-complete-record.json"
"arbir-su-itici";"ArBir Su İtici";"ArBir";"arbir";"woven-like-knits";"hivis";"military | transport";"military: Chemical resistance and hi-vis could be relevant to uniformed services, but no military or police use is explicitly stated. || transport: Raincoats/jackets could be used by transport workers, but no explicit vehicle, vessel or transport-sector use is stated.";"";"Water Repellent Knit Raincoat Fabric";"140 g/m², 100% Polyester, High Visible, Water and Oil Repellent, Woven Like Knit Fabric";"Woven like Knit Fabrics for Bodywarmers, Jackets and Raincoats";"true";"/ariteks/fabrics/arbir-su-itici/data/fabric-complete-record.json"
"arbir-su-itici-su-gecirmez";"ArBir Su İtici/Su Geçirmez";"ArBir";"arbir";"woven-like-knits";"hivis";"energy | transport";"energy: Chemical resistance and EN 13034 could relate to industrial exposure, but no explicit energy-sector use is stated. || transport: Waterproof outerwear could be worn in transport contexts, but no explicit vehicle/vessel use is stated.";"";"Waterproof Knit Raincoat Fabric";"160 g/m², 75% Polyester 25% Polyurethane, High Visible, Waterproof, Woven Like Knit Fabric";"Woven like Knit Fabrics for Bodywarmers, Jackets and Raincoats";"true";"/ariteks/fabrics/arbir-su-itici-su-gecirmez/data/fabric-complete-record.json"
"arbir-200";"ArBir 200";"ArBir";"arbir";"woven-like-knits";"hivis";"transport | welding";"transport: Application list mentions Raincoat, Jacket, Parka but no explicit vehicle or transport worker use stated. || welding: EN 13034 chemical protection standard present but no explicit welding or metallurgy use stated.";"";"Knit Fabric for Safety Clothes";"220 g/m², 100% Polyester, High Visible, Woven Like Knit Fabric";"Woven like Knit Fabrics for Bodywarmers, Jackets and Raincoats";"true";"/ariteks/fabrics/arbir-200/data/fabric-complete-record.json"
"arwowear-t2-soft";"ArWoWear T2 Soft";"ArWoWear";"arwowear-soft";"economical-twill";"";"military";"military: Coveralls/workwear could be used by uniformed services but no explicit military/police reference is provided.";"Product is a generic economical 100% cotton twill workwear fabric intended for coveralls, with no explicit statement linking it to military, firefighting, energy, welding, motorcycle, hi-vis, medical, sport, architecture-building or transport applications.";"100% Cotton Twill Fabric, 245 gr/m'2";"245 g/m², 100% Cotton, 3/1S Twill Fabric";"Economical Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t2-soft/data/fabric-complete-record.json"
"arwowear-t4-soft";"ArWoWear T4 Soft";"ArWoWear";"arwowear-soft";"economical-twill";"";"military";"military: Generic durable workwear/coverall twill without explicit military or uniformed-service statement.";"Product is a generic economical polyester/cotton twill workwear fabric intended for coveralls/uniforms with OEKO-TEX certification and water/oil repellency; no explicit sector such as military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building or transport is stated.";"65% Polyester 35% Cotton Twill Fabric, 200 gr/m'2";"200 g/m², 65% Polyester 35% Cotton, 2/1S Twill Fabric";"Economical Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t4-soft/data/fabric-complete-record.json"
"arwowear-t5-soft";"ArWoWear T5 Soft";"ArWoWear";"arwowear-soft";"economical-twill";"";"energy | welding";"energy: No antistatic, arc-protection or EMI shielding property stated; only generic workwear fabric. || welding: Generic durable twill workwear/coveralls; no explicit welding, foundry or metal-splash use stated.";"Product is described as an economical, general-purpose polyester/cotton twill workwear fabric intended for coveralls, with only OEKO-TEX certification and water/oil repellency noted. No explicit military, firefighting, energy, welding, motorcycle, hi-vis, medical, sport, architectural or transport use is stated.";"65% Polyester 35% Cotton Twill Fabric, 245 gr/m'2";"245 g/m², 65% Polyester 35% Cotton, 3/1S Twill Fabric";"Economical Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t5-soft/data/fabric-complete-record.json"
"arwowear-t6-soft";"ArWoWear T6 Soft";"ArWoWear";"arwowear-soft";"economical-twill";"";"military";"military: Application listed as 'Coveralls' which is generic workwear, not explicitly military/uniformed service use.";"Product is a generic economical cotton/polyester twill workwear fabric intended for coveralls (vests, pants), with OEKO-TEX certification and water/oil repellency. No explicit sector application (military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building, transport) is stated in the supplied data.";"60% Cotton 40% Polyester Twill Fabric, 200 gr/m'2";"200 g/m², 60% Cotton 40% Polyester, 2/1S Twill Fabric";"Economical Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t6-soft/data/fabric-complete-record.json"
"arwowear-t7-soft";"ArWoWear T7 Soft";"ArWoWear";"arwowear-soft";"economical-twill";"";"military";"military: Generic workwear/coverall application listed, but no explicit military or uniformed-service use stated.";"Product is an economical cotton-polyester twill workwear fabric explicitly intended for coveralls, with no explicit mention of any specific sector such as military, firefighting, energy, welding, motorcycle, hi-vis, medical, sport, architecture or transport.";"60% Cotton 40% Polyester Twill Fabric, 245 gr/m'2";"245 g/m², 60% Cotton 40% Polyester, 3/1S Twill Fabric";"Economical Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t7-soft/data/fabric-complete-record.json"
"arwowear-t11-soft";"ArWoWear T11 Soft";"ArWoWear";"arwowear-soft";"economical-twill";"";"military";"military: Generic workwear twill cotton fabric could theoretically be used for uniforms, but no military/police/uniformed-service use is stated.";"This is a generic 100% cotton twill workwear fabric intended for coveralls (per technical parameters), with no explicit sector-specific application (military, firefighting, energy, welding, hi-vis, medical, sport, architecture, or transport) stated in the supplied data.";"100% Cotton Twill Fabric, 390 gr/m'2";"390 g/m², 100% Cotton, 3/1S Twill Fabric";"Economical Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t11-soft/data/fabric-complete-record.json"
"arwowear-t2-static-pro";"ArWoWear T2 Static Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"energy";"welding";"welding: Antistatic and flame-related workwear could plausibly overlap with metal industry environments, but no explicit welding/foundry/metallurgy use is stated.";"";"99% Cotton 1% Carbon Antistatic Twill Fabric, 245 gr/m'2";"245 g/m², 99% Cotton 1% Carbon, 3/1S";"Antistatic Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t2-static-pro/data/fabric-complete-record.json"
"arwowear-t4-static-pro";"ArWoWear T4 Static Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"energy";"welding";"welding: Antistatic twill workwear could be used in industrial settings but no explicit welding, foundry or metallurgy use is stated.";"";"64% Polyester 35% Cotton 1% Carbon Antistatic Twill Fabric, 200 gr/m'2";"200 g/m², 64% Polyester 35% Cotton 1% Carbon, 2/1S";"Antistatic Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t4-static-pro/data/fabric-complete-record.json"
"arwowear-t11-static-pro";"ArWoWear T11 Static Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"energy";"welding";"welding: Antistatic FR-adjacent workwear could plausibly be used in metalworking, but no explicit welding or foundry use is stated.";"";"99% Cotton 1% Carbon Antistatic Twill Fabric, 360 gr/m'2";"360 g/m², 99% Cotton 1% Carbon, 3/1S";"Antistatic Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t11-static-pro/data/fabric-complete-record.json"
"arwowear-t20-static-pro";"ArWoWear T20 Static Pro Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"energy";"welding";"welding: Antistatic FR-adjacent workwear could relate to industrial metalworking environments, but no explicit welding/foundry/metallurgy use is stated.";"";"79% Cotton 20% Polyester 1% Carbon Twill, Antisatic Fabric, 260 gr/m'2";"260 g/m², 79% Cotton 20% Polyester 1% Carbon, Antistatic, 3/1S Twill Fabric";"Antistatic Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t20-static-pro/data/fabric-complete-record.json"
"arwowear-t21-static-pro";"ArWoWear T21 Static Pro Pro";"ArWoWear";"arwowear-static-pro";"antistatic";"energy";"military | welding";"military: Coverall application is generic industrial workwear; no explicit military or uniformed-service use is stated. || welding: Antistatic and heavy twill workwear could be used in industrial metal environments, but no explicit welding/foundry/metallurgy use is stated.";"";"79% Cotton 20% Polyester 1% Carbon Twill, Antisatic Fabric, 330 gr/m'2";"330 g/m², 79% Cotton 20% Polyester 1% Carbon, Antistatic, 3/1S Twill Fabric";"Antistatic Twill Workwear Fabrics";"true";"/ariteks/fabrics/arwowear-t21-static-pro/data/fabric-complete-record.json"
"arwowear-t2-chem-pro";"ArWoWear T2 Chem Pro";"ArWoWear";"arwowear-chem-pro";"chemical-resistant";"";"energy";"energy: Has 'emi' property (EMI shielding related term) but no explicit electrical/energy-sector application stated; chemical resistance and workwear coverall use are the stated applications, not energy sector.";"This is a 100% cotton, vat-dyed, chemical-resistant twill workwear fabric intended for coveralls in outdoor summer working conditions, resistant to industrial chemicals (EN ISO 13034) with water/oil repellency. No explicit military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building or transport use is stated.";"100% Cotton Twill, Chemical Resistant Fabric, 260 gr/m'2";"260 g/m², 100% Cotton, VAT Dyed, Chemical Resistant, 3/1S Twill Fabric";"Vat Dyed Workwear Fabrics Resistant to Industrial Chemicals";"true";"/ariteks/fabrics/arwowear-t2-chem-pro/data/fabric-complete-record.json"
"arwowear-t4-chem-pro";"ArWoWear T4 Chem Pro";"ArWoWear";"arwowear-chem-pro";"chemical-resistant";"";"energy | welding";"energy: Product lists 'emi' property (EMI shielding relevant to ArWoWear EMK family per taxonomy), but no explicit statement ties it to electrical utilities, arc protection, or high-voltage work. || welding: Chemical resistance and workwear focus could relate to industrial protective clothing, but no explicit welding, foundry or molten-metal splash use is stated.";"This is a general industrial chemical-resistant workwear fabric (application listed as 'Coveralls') intended for chemical resistance (EN 13034) and outdoor summer working conditions. No explicit sector such as military, firefighting, energy, welding, motorcycle, hi-vis, medical, sport, architecture-building or transport is stated in the product data.";"65% Polyester 35% Cotton, Chemical Resistant Fabric, 200 gr/m'2";"200 g/m², 65% Polyester 35% Cotton, VAT Dyed, Chemical Resistant, 2/1S Twill Fabric";"Vat Dyed Workwear Fabrics Resistant to Industrial Chemicals";"true";"/ariteks/fabrics/arwowear-t4-chem-pro/data/fabric-complete-record.json"
"arwowear-t5-chem-pro";"ArWoWear T5 Chem Pro";"ArWoWear";"arwowear-chem-pro";"chemical-resistant";"";"energy | welding";"energy: Product lists an 'emi' property (EMI shielding) which could relate to electrical/electronic environments, but no explicit statement of energy-sector or electrical-utility use is given; property alone is insufficient per rules. || welding: Chemical resistant workwear could plausibly be used in industrial metal processing, but no explicit welding, foundry or metallurgy use is stated.";"This product is explicitly described as a chemical-resistant workwear fabric (coveralls) intended for general industrial chemical protection, water/oil repellency, and outdoor working conditions. No explicit mention of military, firefighting, energy sector, welding, motorcycle, hi-vis, medical, sport, architecture/building, or transport use is present in the supplied data, so no precise application match can be established.";"65% Polyester 35% Cotton, Chemical Resistant Fabric, 245 gr/m'2";"245 g/m², 65% Polyester 35% Cotton, VAT Dyed, Chemical Resistant, 3/1S Twill Fabric";"Vat Dyed Workwear Fabrics Resistant to Industrial Chemicals";"true";"/ariteks/fabrics/arwowear-t5-chem-pro/data/fabric-complete-record.json"
"arwowear-t6-chem-pro";"ArWoWear T6 Chem Pro";"ArWoWear";"arwowear-chem-pro";"chemical-resistant";"";"energy";"energy: Has 'emi' property (EMI-related), but no explicit statement connecting it to electrical utilities, arc protection or high-voltage work; this is generic chemical-resistant workwear.";"This product is explicitly positioned as a chemical-resistant workwear fabric for coveralls (EN ISO 13034), vat dyed cotton/polyester twill with water/oil repellency. No explicit military, firefighting, energy, welding, motorcycle, hi-vis, medical, sport, architecture-building or transport use is stated in the supplied data.";"60% Cotton 40% Polyester, Chemical Resistant Fabric, 200 gr/m'2";"200 g/m², 60% Cotton 40% Polyester, VAT Dyed, Chemical Resistant, 2/1S Twill Fabric";"Vat Dyed Workwear Fabrics Resistant to Industrial Chemicals";"true";"/ariteks/fabrics/arwowear-t6-chem-pro/data/fabric-complete-record.json"
"arwowear-t7-chem-pro";"ArWoWear T7 Chem Pro";"ArWoWear";"arwowear-chem-pro";"chemical-resistant";"";"energy | welding";"energy: Product has 'emi' property (EMI shielding) which could relate to electrical/electronic environments, but no explicit statement of energy sector or high-voltage/electrical utility use is given. || welding: Chemical resistance and workwear coating could plausibly relate to industrial metalworking hazards, but no explicit welding, foundry or metal-splash use is stated.";"This is a general chemical-resistant workwear fabric (coveralls application) tested for chemical resistance (EN 13034) and OEKO-TEX certification, with an EMI property listed. There is no explicit statement tying it to military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building or transport use cases.";"60% Cotton 40% Polyester, Chemical Resistant Fabric, 245 gr/m'2";"245 g/m², 60% Cotton 40% Polyester, VAT Dyed, Chemical Resistant, 3/1S Twill Fabric";"Vat Dyed Workwear Fabrics Resistant to Industrial Chemicals";"true";"/ariteks/fabrics/arwowear-t7-chem-pro/data/fabric-complete-record.json"
"arwowear-t11-chem-pro";"ArWoWear T11 Chem Pro";"ArWoWear";"arwowear-chem-pro";"chemical-resistant";"";"energy";"energy: Properties list includes 'emi' (EMI shielding characteristic) but no explicit statement of electrical/energy sector or high-voltage use is provided.";"This is a chemical-resistant, vat-dyed 100% cotton workwear fabric intended for coveralls (per technicalParameters 'Application | Coveralls'), used in outdoor winter working conditions with resistance to industrial chemicals (EN ISO 13034). No explicit military, firefighting, energy, welding, motorcycle, hivis, medical, sport, architecture-building or transport use is stated in the product data.";"100% Cotton Twill, Chemical Resistant Fabric, 360 gr/m'2";"360 g/m², 100% Cotton, Vat Dyed, Chemical Resistant, 3/1S Twill Fabric";"Vat Dyed Workwear Fabrics Resistant to Industrial Chemicals";"true";"/ariteks/fabrics/arwowear-t11-chem-pro/data/fabric-complete-record.json"
"arwowear-t1-flame-pro";"ArWoWear T1 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"";"firefighting | military | welding";"firefighting: Flame retardant certification (EN ISO 11612) and FR lining use suggest possible protective clothing context, but no explicit firefighter/turnout gear use is stated. || military: FR workwear could theoretically be used by uniformed services, but no explicit military/police/tactical reference exists. || welding: FR cotton fabric could be used in metalworking environments, but no explicit welding/foundry/metallurgy use is mentioned.";"Product is a generic flame-retardant cotton workwear/lining fabric certified to EN ISO 11612, explicitly described as used for flame retardant coveralls and jackets, without any explicit statement tying it to firefighting, military, welding, energy, or other listed application sectors.";"100% Cotton Twill, Flame Retardant Fabric, 220 gr/m'2";"220 g/m², 100% Cotton, VAT Dyed, Flame Retardant (100 Wash Resistant), 2/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t1-flame-pro/data/fabric-complete-record.json"
"arwowear-t2-flame-pro";"ArWoWear T2 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | firefighting | military";"energy: Explicit electric-arc protection rating (EN 61482, ATPV) directly supports high-voltage/electrical hazard protection use in the energy sector. || firefighting: EN ISO 11612 flame and heat protection is present but this standard alone covers general industrial FR workwear, not explicit firefighter turnout gear; no firefighting-specific wording is present. || military: No explicit military, police or uniformed-service wording; only generic FR coverall/workwear application is stated.";"";"100% Cotton Twill, Flame Retardant Fabric, 260 gr/m'2";"260 g/m², 100% Cotton, VAT Dyed, Flame Retardant (100 Wash Resistant), 3/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t2-flame-pro/data/fabric-complete-record.json"
"arwowear-t11-flame-pro";"ArWoWear T11 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | firefighting | military";"energy: The fabric is explicitly rated and certified for electric-arc protection per EN 61482 with a specific ATPV rating and arc class, directly matching the energy sector's electric-arc protection use case. || firefighting: EN ISO 11612 covers general flame/heat protection but is not the firefighter-specific EN 469 standard, and no explicit firefighting/turnout gear use is stated. || military: No explicit mention of military, police, or uniformed-service use in the product data.";"";"100% Cotton Twill, Flame Retardant Fabric, 360 gr/m'2";"360 g/m², 100% Cotton, VAT Dyed, Flame Retardant (100 Wash Resistant), 3/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t11-flame-pro/data/fabric-complete-record.json"
"arwowear-t12-flame-pro";"ArWoWear T12 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | firefighting | transport";"energy: Arc protection (EN 61482) and ATPV rating are present, but no explicit statement of use in electrical utility or high-voltage energy sector work; arc-flash protection alone is insufficient per rules. || firefighting: EN ISO 11612 flame and heat protection certification is present, but there is no explicit mention of firefighting, turnout gear, or fire brigade use. || transport: Shipyard context is mentioned but this refers to welding work location, not vessel/vehicle transport use of the fabric itself.";"";"100% Cotton Satin, Flame Retardant Fabric, 450 gr/m'2";"450 g/m², 100% Cotton, VAT Dyed, Flame Retardant (100 Wash Resistant), 4/1 Satin Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t12-flame-pro/data/fabric-complete-record.json"
"arwowear-t13-flame-pro";"ArWoWear T13 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | transport";"energy: Arc protection (EN 61482, ATPV >20 cal/cm²) suggests electrical hazard protection, but no explicit statement of energy-sector or electrical utility use. || transport: Mentions shipyard welders (cold climates) which implies a maritime/shipyard context, but this is tied to welding occupation not vehicle/vessel transport use; not explicit transport application.";"";"100% Cotton Satin, Flame Retardant Fabric, 520 gr/m'2";"520 g/m², 100% Cotton, VAT Dyed, Flame Retardant (100 Wash Resistant), 5/2 Satin Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t13-flame-pro/data/fabric-complete-record.json"
"arwowear-t20-flame-pro";"ArWoWear T20 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | firefighting";"energy: Explicit electric-arc protection rating (EN 61482, ATPV) directly indicates suitability for electrical/high-voltage work environments. || firefighting: EN ISO 11612 flame/heat protection is present but this is generic FR workwear certification, not explicit firefighter turnout gear use.";"";"80% Cotton 20% Polyester, Flame Retardant Fabric , 260 gr/m'2";"260 g/m², 80% Cotton 20% Polyester, VAT Dyed, Flame Retardant (100 Wash Resistant), 3/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t20-flame-pro/data/fabric-complete-record.json"
"arwowear-t21-flame-pro";"ArWoWear T21 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | firefighting | military";"energy: Explicit arc-flash protection rating (ATPV, arc class) under EN 61482 directly supports electrical/high-voltage protective use associated with the energy sector. || firefighting: Fabric is flame retardant and heat-protective per EN ISO 11612, but no explicit firefighter/turnout-gear use is stated. || military: No explicit military, police or uniformed-service use mentioned despite durable FR workwear construction.";"";"80% Cotton 20% Polyester, Flame Retardant Fabric , 330 gr/m'2";"330 g/m², 80% Cotton 20% Polyester, VAT Dyed, Flame Retardant (100 Wash Resistant), 3/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t21-flame-pro/data/fabric-complete-record.json"
"arwowear-t30-flame-pro";"ArWoWear T30 Flame Pro";"ArWoWear";"arwowear-flame-pro";"fr-workwear";"welding";"energy | firefighting";"energy: EN 61482 arc protection and ATPV rating are present, but these relate to arc-flash protective clothing generally; no explicit statement of electrical utility or energy-sector use. || firefighting: EN ISO 11612 (flame and heat protection) is present, but this standard covers general industrial heat/flame protection, not specifically firefighter turnout gear; no explicit firefighting use stated.";"";"90% Cotton 10% Polyamide, Flame Retardant Fabric, 260 gr/m'2";"260 g/m², 90% Cotton 10% Polyamide, VAT Dyed, Flame Retardant (100 Wash Resistant), 3/1S Twill Fabric";"Flame Retardant, Vat Dyed, Workwear Fabrics Resistant up to 100 Wash";"true";"/ariteks/fabrics/arwowear-t30-flame-pro/data/fabric-complete-record.json"
